state,district,block,panchayat,village,date,demand
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2024-05-20,150.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2024-05-27,135.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2024-06-03,134.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2024-06-10,120.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2024-06-17,123.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2024-06-24,124.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2024-07-01,112.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2024-07-08,119.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2024-07-15,108.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2024-07-22,107.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2024-07-29,102.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2024-08-05,116.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2024-08-12,100.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2024-08-19,90.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2024-08-26,101.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2024-09-02,85.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2024-09-09,
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2024-09-16,77.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2024-09-23,81.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2024-09-30,91.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2024-10-07,96.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2024-10-14,92.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2024-10-21,91.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2024-10-28,91.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2024-11-04,85.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2024-11-11,92.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2024-11-18,97.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2024-11-25,111.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2024-12-02,109.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2024-12-09,97.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2024-12-16,115.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2024-12-23,
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2024-12-30,115.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2025-01-06,128.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2025-01-13,135.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2025-01-20,137.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2025-01-27,128.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2025-02-03,135.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2025-02-10,142.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2025-02-17,149.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2025-02-24,141.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2025-03-03,145.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2025-03-10,140.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2025-03-17,141.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2025-03-24,156.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2025-03-31,160.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2025-04-07,149.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2025-04-14,156.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2025-04-21,151.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2025-04-28,142.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2025-05-05,147.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2025-05-12,154.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2025-05-19,140.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2025-05-26,148.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2025-06-02,115.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2025-06-09,137.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2025-06-16,128.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2025-06-23,121.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2025-06-30,121.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2025-07-07,102.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2025-07-14,111.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2025-07-21,112.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2025-07-28,117.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2025-08-04,99.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2025-08-11,94.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2025-08-18,94.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2025-08-25,102.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2025-09-01,96.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2025-09-08,88.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2025-09-15,95.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2025-09-22,
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2025-09-29,97.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2025-10-06,85.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2025-10-13,89.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2025-10-20,89.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2025-10-27,
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,03/11/25,97.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2025-11-10,99.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2025-11-17,100.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2025-11-24,101.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2025-12-01,96.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2025-12-08,106.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2025-12-15,110.0
Tamil Nadu,Salem,Yercaud,Kumarapuram GP,Kumarapuram,2025-12-22,111.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2024-01-01,89.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2024-01-08,95.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2024-01-15,106.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2024-01-22,99.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2024-01-29,102.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,05/02/24,102.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2024-02-12,95.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2024-02-19,107.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2024-02-26,109.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2024-03-04,123.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2024-03-11,110.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2024-03-18,113.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2024-03-25,112.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2024-04-01,106.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2024-04-08,119.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2024-04-15,116.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2024-04-22,115.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2024-04-29,105.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2024-05-06,116.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2024-05-13,99.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2024-05-20,108.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2024-05-27,115.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2024-06-03,95.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2024-06-10,95.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2024-06-17,96.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2024-06-24,90.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2024-07-01,82.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2024-07-08,88.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2024-07-15,79.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2024-07-22,85.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2024-07-29,75.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2024-08-05,86.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2024-08-12,71.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2024-08-19,71.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2024-08-26,76.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2024-09-02,63.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2024-09-09,70.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2024-09-16,75.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2024-09-23,59.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2024-09-30,68.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2024-10-07,
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2024-10-14,72.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2024-10-21,62.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2024-10-28,63.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2024-11-04,74.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2024-11-11,75.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2024-11-18,76.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2024-11-25,79.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2024-12-02,76.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2024-12-09,83.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2024-12-16,86.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2024-12-23,83.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2024-12-30,100.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2025-01-06,95.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2025-01-13,89.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2025-01-20,102.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2025-01-27,95.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2025-02-03,107.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2025-02-10,111.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2025-02-17,102.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2025-02-24,114.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2025-03-03,112.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2025-03-10,115.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2025-03-17,122.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2025-03-24,111.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2025-03-31,108.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2025-04-07,108.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2025-04-14,107.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2025-04-21,111.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2025-04-28,112.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2025-05-05,110.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2025-05-12,111.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2025-05-19,105.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2025-05-26,111.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2025-06-02,99.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2025-06-09,113.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2025-06-16,99.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2025-06-23,88.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2025-06-30,84.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2025-07-07,90.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2025-07-14,83.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2025-07-21,86.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2025-07-28,82.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2025-08-04,77.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2025-08-11,71.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2025-08-18,65.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2025-08-25,69.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2025-09-01,75.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2025-09-08,70.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2025-09-15,61.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2025-09-22,69.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2025-09-29,70.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2025-10-06,63.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2025-10-13,69.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2025-10-20,69.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2025-10-27,64.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2025-11-03,73.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2025-11-10,76.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2025-11-17,81.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2025-11-24,83.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2025-12-01,72.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2025-12-08,77.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2025-12-15,87.0
Tamil Nadu,Salem,Yercaud,Nallur GP,Nallur,2025-12-22,90.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2024-01-01,103.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2024-01-08,127.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2024-01-15,111.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2024-01-22,118.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2024-01-29,120.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2024-02-05,122.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2024-02-12,119.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2024-02-19,128.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2024-02-26,122.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2024-03-04,127.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2024-03-11,128.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2024-03-18,133.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2024-03-25,148.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2024-04-01,124.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2024-04-08,139.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2024-04-15,126.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2024-04-22,132.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2024-04-29,141.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2024-05-06,134.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2024-05-13,126.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2024-05-20,126.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2024-05-27,133.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2024-06-03,122.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2024-06-10,125.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2024-06-17,122.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2024-06-24,115.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2024-07-01,128.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2024-07-08,117.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2024-07-15,98.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2024-07-22,108.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2024-07-29,100.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2024-08-05,107.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2024-08-12,95.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,19/08/24,97.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2024-08-26,99.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2024-09-02,99.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2024-09-09,86.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2024-09-16,91.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2024-09-23,89.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2024-09-30,89.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2024-10-07,104.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2024-10-14,97.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2024-10-21,88.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2024-10-28,103.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,04/11/24,113.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2024-11-11,109.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2024-11-18,97.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2024-11-25,107.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2024-12-02,121.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2024-12-09,114.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2024-12-16,125.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2024-12-23,131.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2024-12-30,126.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2025-01-06,135.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2025-01-13,121.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2025-01-20,139.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2025-01-27,148.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2025-02-03,146.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2025-02-10,
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2025-02-17,152.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2025-02-24,161.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2025-03-03,168.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2025-03-10,178.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2025-03-17,163.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2025-03-24,180.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2025-03-31,174.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2025-04-07,168.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2025-04-14,177.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2025-04-21,175.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2025-04-28,169.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2025-05-05,172.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2025-05-12,167.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2025-05-19,168.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2025-05-26,168.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2025-06-02,171.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2025-06-09,150.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2025-06-16,167.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2025-06-23,139.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2025-06-30,146.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2025-07-07,146.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2025-07-14,141.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2025-07-21,132.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2025-07-28,131.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2025-08-04,126.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2025-08-11,122.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2025-08-18,128.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2025-08-25,123.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2025-09-01,114.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2025-09-08,122.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2025-09-15,118.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2025-09-22,121.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2025-09-29,120.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2025-10-06,112.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2025-10-13,115.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2025-10-20,124.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2025-10-27,126.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2025-11-03,125.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2025-11-10,129.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2025-11-17,140.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2025-11-24,133.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2025-12-01,145.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2025-12-08,145.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2025-12-15,150.0
Tamil Nadu,Salem,Attur,Servarayan GP,Servarayan,2025-12-22,164.0
Tamil Nadu,Salem,Attur,Periyakottai GP,Periyakottai,2024-01-01,157.0
Tamil Nadu,Salem,Attur,Periyakottai GP,Periyakottai,2024-01-08,162.0
Tamil Nadu,Salem,Attur,Periyakottai GP,Periyakottai,2024-01-15,171.0
Tamil Nadu,Salem,Attur,Periyakottai GP,Periyakottai,2024-01-22,163.0
Tamil Nadu,Salem,Attur,Periyakottai GP,Periyakottai,2024-01-29,174.0
